model,val_auc,val_acc,test_auc,test_acc,hyper_parameters,parameters,FLOPS,Time Consuming
GoogLeNet,0.6749,0.6322,0.6714,0.6338,128_32_0.001,6.753M,15.751G,3.4 s
GoogLeNet,0.7315,0.6573,0.7588,0.7011,256_16_0.001,6.753M,31.446G,4.58 s
GoogLeNet,0.7291,0.6651,0.7314,0.6729,256_32_0.001,6.753M,62.892G,4.5 s
GoogLeNet,0.75,0.7027,0.7499,0.6823,256_64_0.0001,6.753M,125.784G,4.45 s
GoogLeNet,0.7363,0.6761,0.7356,0.6729,256_64_0.001,6.753M,125.784G,4.51 s
GoogLeNet,0.6447,0.5947,0.6294,0.59,256_64_0.01,6.753M,125.784G,4.43 s
GoogLeNet,0.7373,0.6541,0.7417,0.6714,512_32_0.001,6.753M,251.457G,9.91 s
